Baja;Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios
0;100378;1;3;11;26;14;11;1;341;399;34;1;38;1.7125;12;15;1.69589
0;100383;1;13;63;26;186;10;1;557;414;145;1;41;0.8575;4;12;1.65479
0;100384;1;6;13;26;6;13;1;432;603;4;1;33;0.67;7;11;1.63836
0;100386;1;6;14;26;5;13;1;433;385;183;1;41;0.4675;7;10;1.63288
0;100387;1;1;34;26;136;6;1;322;297;45;2;52;12.2775;8;21;1.61918
0;100388;1;6;13;26;6;13;1;426;385;184;1;27;0.505;7;11;1.61918
0;100389;1;6;14;26;5;13;1;434;602;4;2;26;0.5975;7;10;1.61918
0;100392;1;5;15;26;20;2;1;382;353;90;2;50;1.4;11;14;1.6137
0;100399;1;5;15;26;20;2;1;382;353;145;1;27;0.8575;11;13;1.58082
0;100401;1;3;11;26;14;11;1;341;399;47;1;29;1.285;12;14;1.57534
0;100402;1;6;13;26;6;13;1;400;380;4;2;31;0.703;7;11;1.57534
0;100403;1;6;13;26;6;13;1;447;634;4;1;27;0.7975;7;12;1.57534
0;100405;1;6;13;26;6;13;1;422;386;30;1;53;1.815;7;15;1.57534
0;100407;1;5;15;26;20;2;1;382;353;145;1;27;0.8575;11;13;1.57534
0;100408;1;13;63;26;186;10;1;558;413;32;1;35;1.3925;4;14;1.57534
0;100411;11;6;13;26;6;13;1;426;385;145;2;30;0.71;7;12;1.56164
0;100416;1;1;44;26;137;6;1;314;302;30;2;33;1.02;8;13;1.57534
0;100417;1;5;15;26;20;2;1;379;358;4;1;26;0.665;11;12;1.55068
0;100418;1;4;91;26;258;14;1;366;590;145;1;26;0.8925;11;13;1.54247
0;100419;1;4;91;26;248;14;1;357;350;48;1;42;0.49;11;13;1.54247
0;100420;1;4;91;26;248;14;1;365;337;4;2;32;0.75;11;12;1.52329
0;100422;1;6;13;26;6;13;1;435;594;90;1;43;2.6;7;16;1.54247
0;100426;1;6;14;26;10;13;1;427;629;4;1;32;1.1775;7;13;1.53151
0;100427;11;1;34;26;136;6;1;325;309;59;2;33;3.21;8;17;1.52329
0;100434;1;4;91;26;248;14;1;349;627;59;1;44;6.5625;11;18;1.49863
0;100435;1;10;56;26;160;5;1;478;367;145;2;26;0.8575;11;13;1.48219
0;100437;1;6;14;26;5;13;1;394;595;126;1;42;0.4825;7;10;1.48219
0;100438;1;6;13;26;6;13;1;442;385;4;1;26;1.07;7;13;1.48219
0;100442;1;1;34;26;136;6;1;330;301;32;2;27;1.1675;8;13;1.46575
0;100444;1;4;91;26;248;14;1;351;334;45;1;48;9.31;11;20;1.44658
0;100445;1;6;13;26;6;13;1;417;600;22;1;54;6.825;7;19;1.44658
0;100446;1;4;91;26;248;14;1;362;333;45;1;44;7;11;20;1.4411
0;100448;10;1;85;33;119;6;1;303;504;3;1;30;0.674;8;12;1.44658
0;100450;11;1;12;29;83;6;1;155;474;59;1;30;0.7825;8;12;1.44658
0;100451;1;4;91;26;248;14;1;364;347;10;2;27;0.4425;11;10;1.4274
0;100453;1;6;14;26;5;13;1;433;385;183;2;25;0.405;7;10;1.40822
0;100454;1;14;90;26;249;8;1;581;372;4;1;32;1.1;7;13;1.40822
0;100458;1;1;34;26;136;6;1;329;297;4;2;26;0.965;8;13;1.40822
0;100459;11;6;13;26;6;13;1;400;380;4;1;26;0.703;7;11;1.38904
0;100460;1;4;91;26;248;14;1;364;347;10;1;24;0.4425;11;10;1.38356
0;100462;1;1;34;26;136;6;1;325;309;32;1;22;0.7;8;14;1.38082
0;100463;1;4;91;26;248;14;1;364;347;32;1;38;1.155;11;14;1.36712
0;100466;1;16;9;26;13;16;1;600;418;90;2;31;3;3;16;1.36712
0;100467;1;6;14;26;10;13;1;427;629;4;1;27;1.3925;7;13;1.35068
0;100468;9;1;34;26;136;6;1;305;295;59;1;35;9.0525;8;19;1.36712
0;100469;1;1;34;26;136;6;1;309;297;90;2;44;2.75;8;16;1.35068
0;100470;1;13;63;26;186;10;1;560;412;10;1;37;0.51;4;10;1.35068
0;100472;1;6;13;26;6;13;1;408;384;4;1;28;0.703;7;10;1.35068
0;100474;1;4;91;26;248;14;1;369;336;39;1;43;2.14;11;16;1.34795
0;100478;11;16;9;26;13;16;1;600;418;59;1;35;7.7;3;19;1.34521
0;100480;1;4;91;26;248;14;1;350;345;59;1;41;4.2;11;18;1.32603
0;100482;1;6;14;26;5;13;1;436;635;134;1;29;1.45;7;14;1.32329
0;100483;1;10;56;26;160;5;1;476;368;145;2;29;0.8;11;13;1.32329
0;100484;1;6;13;26;6;13;1;408;384;4;2;26;0.703;7;10;1.32329
0;100485;1;13;62;26;187;10;1;568;642;1;2;34;1.56;4;15;1.32329
0;100486;1;1;34;26;136;6;1;309;297;90;1;37;2.5;8;16;1.32329
0;100488;1;13;62;26;187;10;1;570;643;59;2;44;4.5;4;17;1.31233
0;100490;1;16;9;26;13;16;1;601;418;4;1;28;1;3;13;1.31233
0;100492;1;6;14;26;5;13;1;435;594;90;2;39;1.8;7;15;1.29315
0;100493;1;4;91;26;248;14;1;352;336;8;2;24;0.46;11;11;1.29041
0;100494;1;13;62;26;187;10;1;565;410;10;1;27;0.51;4;10;1.29315
0;100495;1;1;34;26;136;6;1;329;297;32;2;24;1.1;8;13;1.29315
0;100496;1;13;62;26;187;10;1;563;409;90;1;34;2.21;4;16;1.28219
0;100497;1;4;91;26;248;14;1;351;334;59;2;44;4;11;17;1.27397
0;100499;1;1;34;26;136;6;1;291;460;33;2;29;1.05;8;13;1.27397
0;100500;10;1;44;26;137;6;1;315;303;30;2;41;3.5;8;16;1.30137
0;100501;1;3;11;26;14;11;1;342;400;135;1;31;1;12;13;1.27123
0;100503;1;4;91;26;248;14;1;351;334;59;1;41;6.09;11;19;1.25479
0;100504;1;4;91;26;248;14;1;364;347;10;2;34;0.43;11;10;1.25479
0;100505;1;4;91;26;248;14;1;362;333;4;1;24;0.75;11;12;1.27123
0;100513;1;1;34;25;136;6;1;290;517;30;1;31;3;8;18;1.25479
0;100517;1;4;91;26;248;14;1;369;336;4;1;38;0.6;11;12;1.23562
0;100519;1;13;62;26;187;10;1;565;410;4;2;40;0.945;4;13;1.23288
0;100520;1;6;13;26;6;13;1;423;388;4;1;37;0.8;7;12;1.23562
0;100521;1;6;14;26;5;13;1;427;629;4;1;28;1.3;7;13;1.23014
0;100522;1;6;14;26;5;13;1;438;631;134;1;30;1.45;7;14;1.23014
0;100524;11;1;10;29;125;6;1;264;610;59;1;38;0.7825;8;12;1.23562
0;100530;1;1;44;26;137;6;1;314;300;4;2;29;1;8;13;1.23562
0;100531;1;5;15;26;20;2;1;379;359;145;1;29;0.8;11;12;1.21096
0;100534;1;1;44;26;137;6;1;316;300;32;2;34;1.35;8;13;1.20548
0;100535;1;6;14;26;10;13;1;406;380;10;2;23;0.55;7;11;1.19726
0;100536;11;1;34;26;136;6;1;329;297;4;2;23;0.975;8;12;1.23014
0;100537;1;4;91;26;248;14;1;362;333;90;2;33;1.7;11;15;1.19726
0;100543;1;4;91;26;248;14;1;353;339;59;1;44;3.5;11;17;1.17808
0;100547;1;4;91;26;248;14;1;352;336;8;1;27;0.46;11;11;1.17534
0;100550;1;16;9;26;13;16;1;598;420;84;1;36;2.75;3;16;1.17808
0;100559;1;9;60;26;173;9;1;471;364;145;2;33;0.8;11;12;1.17808
0;100560;1;3;11;26;14;11;1;341;399;47;1;31;0.95;12;13;1.17534
0;100563;1;4;91;26;248;14;1;372;342;142;2;34;0.42;11;10;1.16712
