Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
33443;11;1;21;33;111;6;1;234;483;59;2;23;0.6229;8;11;4.61918;0
33448;10;1;85;15;106;6;1;220;502;59;1;23;0.585;8;11;3.7726;1
33462;11;1;44;15;92;6;1;181;530;59;1;22;0.705;8;11;4.60274;0
33488;1;5;15;26;20;2;1;384;351;145;2;36;0.52;11;11;2.96712;1
33490;10;1;46;15;97;6;1;195;439;59;2;22;0.6229;8;11;3.83562;1
33494;1;6;14;26;10;13;1;456;379;140;2;22;0.5025;7;10;4.59726;0
33543;10;1;33;15;73;6;1;128;447;59;2;24;0.6229;8;11;4.58082;0
33566;1;4;91;26;248;14;1;374;341;51;1;36;0.42;11;10;4.57534;0
33587;1;1;58;15;135;6;1;287;653;59;1;22;0.705;8;11;4.56164;0
33599;10;1;41;15;52;6;1;70;479;59;1;22;0.66;8;11;4.13151;1
33644;1;6;13;26;6;13;1;426;385;184;1;25;0.5175;7;11;4.49589;1
33688;11;1;45;15;98;6;1;198;464;59;2;20;0.6229;8;11;4.53425;0
33702;11;1;47;15;50;6;1;66;456;59;1;23;0.65;8;11;3.41096;1
33715;10;5;15;26;20;2;1;379;358;86;1;39;0.36;11;10;3.74247;1
33719;10;1;89;36;61;6;1;93;511;59;1;22;0.786;8;12;4.53973;0
33725;1;1;27;33;94;6;1;300;488;185;2;22;0.6015;8;11;4.52877;1
33727;10;1;42;15;74;6;1;131;489;59;2;24;1.186;8;11;3.94247;1
33750;10;1;30;15;55;6;1;78;472;59;1;23;0.705;8;11;4.52329;0
33755;11;1;33;15;26;6;1;6;452;59;2;22;0.705;8;11;4.52329;0
33758;11;4;91;26;248;14;1;351;334;52;1;31;1.5;11;15;4.52603;0
33796;1;1;58;15;135;6;1;287;653;59;2;23;0.6229;8;11;4.51781;0
33834;1;1;26;33;25;6;1;300;495;185;1;22;0.6015;8;11;4.48767;1
33841;11;1;42;15;133;6;1;284;649;59;2;22;0.705;8;11;4.49863;0
33866;11;1;57;29;77;6;1;140;476;59;2;22;0.7825;8;12;4.48767;0
33879;1;1;41;33;52;6;1;301;479;185;1;20;0.6015;8;11;4.47397;1
33992;11;1;84;15;118;6;1;250;481;59;2;22;0.6229;8;11;4.46027;0
33999;1;6;13;26;6;13;1;448;385;183;1;41;0.605;7;11;4.48219;0
34000;1;6;13;26;6;13;1;448;385;183;1;23;0.55;7;11;3.5589;1
34012;10;1;30;15;55;6;1;78;472;59;1;22;0.6229;8;11;4.45753;0
34168;10;1;41;15;42;6;1;46;485;59;2;24;0.6229;8;11;4.38904;0
34208;10;1;43;15;69;6;1;115;463;59;1;23;0.705;8;11;4.38356;0
34218;1;4;91;26;248;14;1;370;341;51;1;23;0.42;11;10;4.39452;0
34257;11;1;33;15;108;6;1;226;444;59;2;21;0.705;8;11;4.3726;0
34329;1;4;91;26;248;14;1;366;343;10;1;29;0.385;11;8;3.80548;1
34364;11;1;34;15;35;6;1;31;443;59;1;24;0.6229;8;11;4.34521;0
34401;11;1;57;15;77;6;1;140;476;59;1;21;0.705;8;11;4.34247;0
34413;1;4;91;26;248;14;1;364;347;10;1;35;0.4625;11;10;4.33425;0
34430;1;5;15;26;20;2;1;378;353;59;1;56;2.925;11;17;4.34521;0
34446;1;16;8;26;12;16;1;594;424;4;1;24;0.95;3;13;4.31781;0
34450;1;1;40;15;100;6;1;203;469;59;1;24;0.705;8;11;4.27671;1
34472;11;1;34;15;37;6;1;38;449;59;1;22;0.705;8;11;4.32055;0
34490;1;1;88;15;81;6;1;152;432;59;2;23;0.585;8;11;4.26575;1
34522;1;1;110;33;128;6;1;303;622;185;2;23;0.6015;8;11;4.30137;1
34582;1;6;14;26;5;13;1;443;374;4;2;32;1.1;7;13;4.29863;0
34595;11;1;35;15;76;6;1;137;521;59;1;21;0.705;8;11;4.29589;0
34600;11;1;39;15;56;6;1;81;470;59;1;23;0.705;8;11;4.29315;0
34605;1;6;13;26;6;13;1;439;389;183;1;30;0.7375;7;11;4.30137;0
34613;1;1;40;33;100;6;1;300;469;185;1;21;0.6015;8;11;4.27945;1
34621;1;1;48;33;99;6;1;302;438;185;1;22;0.6015;8;11;4.27397;1
34623;1;6;14;26;10;13;1;406;380;10;1;23;0.45;7;9;4.28219;0
34640;1;1;16;33;103;6;1;302;430;185;1;22;0.6015;8;11;4.27671;1
34643;1;4;91;26;248;14;1;367;596;51;1;30;0.4;11;10;2.51781;1
34644;1;4;91;26;258;14;1;350;345;139;2;31;0.965;11;13;2.98082;1
34704;1;6;14;33;5;13;1;387;618;145;1;28;0.425;7;11;3.01096;1
34720;1;1;112;17;120;6;1;254;477;59;1;36;1.435;8;14;2.98356;1
34730;1;6;14;33;5;13;1;387;618;8;1;29;0.52;7;11;3.42192;1
34741;1;6;14;33;5;13;1;387;618;145;1;32;0.52;7;11;4.26027;0
34759;1;1;34;26;136;6;1;330;301;32;2;27;1.0175;8;13;4.26027;0
34774;1;13;63;26;186;10;1;558;413;30;2;32;0.945;4;12;4.27397;0
34776;1;4;91;26;248;14;1;357;350;90;1;44;1.89;11;16;3.12877;1
34811;10;1;112;17;120;6;1;254;477;59;1;34;1.575;8;15;3.10959;1
34849;1;4;91;26;248;14;1;348;598;184;1;35;0.5;11;10;2.94247;1
34905;10;1;27;15;94;6;1;186;488;59;2;24;0.6229;8;11;4.21644;0
34911;1;1;33;26;142;6;1;314;302;59;2;46;4.02;8;17;3.16986;1
34912;10;1;16;15;75;6;1;135;428;59;2;22;1.328;8;11;4.21918;0
34921;1;4;91;26;248;14;1;370;340;51;1;37;0.42;11;10;4.21918;0
34928;10;1;36;15;47;6;1;57;535;59;2;23;0.6229;8;11;4.2137;0
35027;10;1;7;29;123;6;1;260;605;59;2;22;1.01;8;13;4.18356;0
35055;10;1;32;15;30;6;1;17;527;59;1;21;0.614;8;11;3.96164;1
35061;1;1;44;36;60;6;1;91;528;59;1;21;0.7825;8;12;4.12877;1
35078;1;1;33;33;108;6;1;300;444;185;2;21;0.6015;8;11;4.16438;1
35095;1;1;16;33;40;6;1;302;427;185;1;22;0.6015;8;11;4.16712;1
35105;1;1;35;15;65;6;1;104;519;59;2;22;0.6229;8;11;4.17534;0
35115;10;1;85;15;93;6;1;184;506;59;2;20;0.705;8;11;4.17534;0
35141;1;9;60;26;173;9;1;471;365;10;2;23;0.45;11;10;4.17808;0
35174;11;1;41;15;91;6;1;179;471;59;1;22;0.705;8;11;4.15342;0
35177;10;1;28;15;59;6;1;89;537;59;1;21;0.6229;8;11;4.15342;0
35183;11;1;110;33;128;6;1;271;622;59;2;22;0.6229;8;11;4.15616;0
